,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,25.03,75,99,4.41,TO,1668803294
1,parrita,9.5201,-84.3225,27.85,77,83,2.73,CR,1668803294
2,opuwo,-18.0607,13.84,22.5,47,24,5.6,NA,1668803295
3,bluff,-46.6,168.3333,14.89,81,99,8.4,NZ,1668803295
4,caravelas,-17.7125,-39.2481,22.68,90,100,6.26,BR,1668803296
5,airai,-8.9266,125.4092,16.58,93,99,0.17,TL,1668803296
6,saint-philippe,-21.3585,55.7679,21.77,70,10,2.37,RE,1668803297
7,gazimurskiy zavod,51.5461,118.3266,-7.67,96,100,1.36,RU,1668803297
8,punta arenas,-53.15,-70.9167,16.06,33,75,11.32,CL,1668803298
9,aswan,24.0934,32.907,19.75,30,2,4.63,EG,1668803299
10,bengkulu,-3.8004,102.2655,23.98,90,100,3.36,ID,1668803299
11,victor harbor,-35.5667,138.6167,15.93,89,95,2.93,AU,1668803300
12,mataura,-46.1927,168.8643,14.71,75,99,4.21,NZ,1668803300
13,ushuaia,-54.8,-68.3,15.81,33,40,4.63,AR,1668803301
14,butaritari,3.0707,172.7902,27.21,76,0,8.94,KI,1668803301
15,hilo,19.7297,-155.09,27.92,76,40,2.68,US,1668803302
16,portland,45.5234,-122.6762,11.1,35,0,8.23,US,1668803036
17,sao felix do xingu,-6.6447,-51.995,25.75,83,83,2.16,BR,1668803303
18,torbay,47.6666,-52.7314,3.1,89,75,11.32,CA,1668803046
19,yellowknife,62.456,-114.3525,-4.71,86,100,2.06,CA,1668803303
20,port elizabeth,-33.918,25.5701,18.39,81,20,6.69,ZA,1668803304
21,beringovskiy,63.05,179.3167,-10.75,86,93,2.09,RU,1668803304
22,san benito abad,8.929,-75.0271,27.39,87,100,1.65,CO,1668803305
23,bredasdorp,-34.5322,20.0403,13.97,77,47,2.56,ZA,1668803130
24,kamenka,51.3223,42.7678,-1.76,84,100,4.96,RU,1668803306
25,masallatah,32.6167,14.0,19.64,62,0,3.03,LY,1668803306
26,thompson,55.7435,-97.8558,-12.91,72,75,8.75,CA,1668803213
27,puerto ayora,-0.7393,-90.3518,25.98,85,66,3.13,EC,1668803307
28,saldanha,-33.0117,17.9442,16.03,74,88,4.5,ZA,1668803307
29,khatanga,71.9667,102.5,-31.12,91,96,2.78,RU,1668803057
30,raga,8.4596,25.678,24.26,29,71,1.84,SS,1668803308
31,bethel,41.3712,-73.414,5.67,45,20,3.6,US,1668803098
32,sao joao da barra,-21.6403,-41.0511,25.05,64,0,7.19,BR,1668803309
33,rincon,32.296,-81.2354,14.98,41,20,0.0,US,1668803074
34,klaksvik,62.2266,-6.589,8.51,86,93,14.38,FO,1668803310
35,busselton,-33.65,115.3333,12.38,67,100,3.39,AU,1668803310
36,ilulissat,69.2167,-51.1,-15.13,86,97,1.28,GL,1668803310
37,atuona,-9.8,-139.0333,25.23,73,5,4.7,PF,1668803311
38,taksimo,56.3444,114.8794,-15.08,90,96,1.79,RU,1668803312
39,carroll,39.5501,-77.0164,6.79,48,40,3.6,US,1668803312
40,new norfolk,-42.7826,147.0587,12.72,70,100,0.85,AU,1668803313
41,ust-omchug,61.15,149.6333,-34.12,95,25,0.37,RU,1668803313
42,eureka,40.8021,-124.1637,13.44,79,0,1.79,US,1668803314
43,kahului,20.8947,-156.47,29.43,67,20,7.72,US,1668803098
44,cape town,-33.9258,18.4232,17.27,60,20,4.12,ZA,1668803226
45,esik,43.3552,77.4525,-4.32,50,100,2.27,KZ,1668803315
46,saint-augustin,51.226,-58.6502,-1.68,98,100,1.27,CA,1668803315
47,saint-vallier,46.6411,4.3711,5.1,96,7,0.98,FR,1668803316
48,vanimo,-2.6741,141.3028,25.44,87,100,0.97,PG,1668803316
49,am timan,11.0297,20.2827,26.46,24,32,1.39,TD,1668803317
50,tual,-5.6667,132.75,29.0,73,100,3.45,ID,1668803317
51,mount pleasant,32.7941,-79.8626,14.99,48,0,2.57,US,1668803318
52,kapaa,22.0752,-159.319,26.99,84,75,8.75,US,1668803318
53,pasighat,28.0667,95.3333,15.6,54,0,1.52,IN,1668803319
54,barrow,71.2906,-156.7887,0.01,86,100,14.92,US,1668803319
55,plettenberg bay,-34.0527,23.3716,14.27,83,100,3.03,ZA,1668803320
56,fortuna,40.5982,-124.1573,13.29,78,0,3.09,US,1668803320
57,saskylakh,71.9167,114.0833,-35.24,97,21,3.4,RU,1668803321
58,kimbe,-5.5502,150.1429,24.16,92,100,1.29,PG,1668803321
59,hay river,60.8156,-115.7999,-4.01,54,75,3.6,CA,1668803176
60,ust-nera,64.5667,143.2,-26.4,97,99,3.0,RU,1668803322
61,qaanaaq,77.484,-69.3632,-22.25,58,13,3.34,GL,1668803322
62,nikolskoye,59.7035,30.7861,-3.06,64,20,4.04,RU,1668803323
63,tiksi,71.6872,128.8694,-25.76,95,100,2.22,RU,1668803323
64,sur,22.5667,59.5289,24.95,63,3,4.14,OM,1668803324
65,meulaboh,4.1363,96.1285,24.52,89,100,1.36,ID,1668803324
66,lagoa,39.05,-27.9833,16.97,68,83,6.38,PT,1668803097
67,albany,42.6001,-73.9662,4.09,48,97,3.96,US,1668803325
68,rikitea,-23.1203,-134.9692,21.9,70,13,5.57,PF,1668803326
69,castro,-24.7911,-50.0119,22.44,48,0,3.41,BR,1668803041
70,grindavik,63.8424,-22.4338,5.26,81,40,4.63,IS,1668803326
71,bambous virieux,-20.3428,57.7575,20.68,82,20,2.57,MU,1668803327
72,mahebourg,-20.4081,57.7,20.7,82,20,2.57,MU,1668803327
73,najran,17.4924,44.1277,17.36,24,2,0.4,SA,1668803301
74,rocha,-34.4833,-54.3333,24.69,49,62,5.83,UY,1668803126
75,port alfred,-33.5906,26.891,16.77,93,100,1.34,ZA,1668803328
76,port hawkesbury,45.6169,-61.3485,1.46,71,75,5.66,CA,1668803329
77,the valley,18.217,-63.0578,29.08,70,40,6.17,AI,1668803329
78,pringsewu,-5.3582,104.9744,22.4,97,100,1.44,ID,1668803329
79,les cayes,18.2,-73.75,28.56,66,98,4.09,HT,1668803330
80,carutapera,-1.195,-46.02,27.89,70,83,3.9,BR,1668803065
81,jamestown,42.097,-79.2353,-0.82,60,75,8.75,US,1668803331
82,tuktoyaktuk,69.4541,-133.0374,-6.0,79,75,2.57,CA,1668803331
83,valparaiso,-33.0393,-71.6273,27.13,61,0,9.26,CL,1668803332
84,tura,25.5198,90.2201,16.24,82,0,2.06,IN,1668803332
85,shu,43.5983,73.7614,2.47,71,100,2.39,KZ,1668803333
86,kedrovyy,56.1667,91.8167,-12.77,97,95,1.43,RU,1668803333
87,alta floresta,-9.8756,-56.0861,26.9,83,40,3.09,BR,1668803334
